gene	p.alert	p.control	p.orient
A1BG	6.4e-05	4.3e-05	2.2e-05
A1BG.AS1	0.004138	0.01171	7.5e-05
A2M	0.782246	0.311811	0.217138
A2ML1	0.910282	0.623969	0.397025
A3GALT2	0.072319	0.858186	0.199537
A4GALT	0.562588	0.034971	0.004048
AAAS	0.007884	0.57572	0.00678
AACS	0.401355	0.380089	0.12172
AADACL3	0.441454	0.498656	0.650628
AADAT	0.525561	0.260037	0.229887
AAED1	0.103072	0.173857	0.050556
AAGAB	0.686813	0.943285	0.996245
AAK1	0.04317	0.146429	0.004612
AAMDC	0.129152	0.108967	0.001381
AAMP	0.189475	0.144008	0.022742
AANAT	0.211357	0.533809	0.386828
AAR2	0.155693	0.436696	0.192466
AARD	0.127244	0.363132	0.003689
AARS	0.001115	0.00037	4e-05
AARS2	0.818325	0.67566	0.90863
AASDH	0.002822	0.001761	3.5e-05
AASDHPPT	0.46327	0.283739	0.102148
AASS	0.012379	0.102513	0.000598
AATF	0.134502	0.437973	0.983165
AATK	0.030544	0.02056	0.004197
ABAT	0.636891	0.590169	0.548126
ABCA1	0.00025	0.06033	0.00111
ABCA10	0.373668	0.65154	0.062782
ABCA11P	0.743865	0.263993	0.369826
ABCA2	0.653761	0.845047	0.569836
ABCA3	0.729554	0.601371	0.188055
ABCA5	0.306356	0.144358	0.008207
ABCA6	0.000956	0.025051	2.3e-05
ABCA7	0.069323	0.279876	0.004164
ABCA8	0.952577	0.807804	0.93191
ABCA9	0.00878	0.013137	0.000105
ABCB1	0.01435	0.127418	0.001343
ABCB10	0.344321	0.064722	0.156597
ABCB6	0.083679	0.009565	0.000133
ABCB7	0.001416	0.01479	0.000214
ABCB8	0.03816	0.009719	0.000144
ABCB9	0.186827	0.060594	0.010353
ABCC1	0.021701	0.2803	0.012738
ABCC10	0.345548	0.0545	0.395637
ABCC12	0.520287	0.486893	0.153669
ABCC5	0.114474	0.453455	0.000601
ABCC6	0.01228	0.019524	0.000229
ABCC8	0.045873	0.444956	0.001144
ABCC9	0.819068	0.896893	0.127007
ABCD2	0.011162	0.02377	0.000452
ABCD3	0.832038	0.736509	0.655888
ABCD4	0.946276	0.067651	0.850273
