Analysis Type:	PANTHER Enrichment Test (release 20220712)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	alert.range.index.txt (Homo sapiens)	There are duplicate IDs in the file.   For duplicates, the first id/value pair in the file will be used.
Correction:	FDR
GO molecular function complete	number	overUnder	pvalue	fdr
signaling receptor binding (GO:0005102)	1070	-	5.64E-08	2.62E-04
structural constituent of ribosome (GO:0003735)	160	-	5.48E-07	1.27E-03
active transmembrane transporter activity (GO:0022804)	313	+	5.35E-06	8.29E-03
G protein-coupled receptor binding (GO:0001664)	207	-	9.81E-06	1.14E-02
cell adhesion molecule binding (GO:0050839)	487	-	1.44E-05	1.33E-02
protein serine kinase activity (GO:0106310)	313	+	3.26E-05	2.52E-02
ATP binding (GO:0005524)	1256	+	5.36E-05	3.56E-02
primary active transmembrane transporter activity (GO:0015399)	134	+	8.38E-05	4.87E-02
inorganic cation transmembrane transporter activity (GO:0022890)	460	+	1.13E-04	5.83E-02
active ion transmembrane transporter activity (GO:0022853)	202	+	1.13E-04	5.27E-02
catalytic activity, acting on a protein (GO:0140096)	1884	+	1.30E-04	5.48E-02
metal ion transmembrane transporter activity (GO:0046873)	339	+	1.30E-04	5.03E-02
calcium ion binding (GO:0005509)	530	-	1.96E-04	6.99E-02
transmembrane signaling receptor activity (GO:0004888)	644	-	2.01E-04	6.66E-02
postsynaptic neurotransmitter receptor activity (GO:0098960)	55	-	2.13E-04	6.61E-02
integrin binding (GO:0005178)	128	-	2.41E-04	7.00E-02
cation transmembrane transporter activity (GO:0008324)	499	+	2.54E-04	6.94E-02
protein serine/threonine kinase activity (GO:0004674)	372	+	2.57E-04	6.62E-02
molecular transducer activity (GO:0060089)	793	-	2.86E-04	6.99E-02
signaling receptor activity (GO:0038023)	793	-	2.86E-04	6.64E-02
adenyl ribonucleotide binding (GO:0032559)	1310	+	3.11E-04	6.88E-02
structural molecule activity (GO:0005198)	554	-	3.99E-04	8.43E-02
