%  GO term	enrichment_P-value
GO:0003735	2.72e-08
GO:0005102	6.89e-06
GO:0005198	0.00159
GO:0004888	0.00193
GO:0140096	0.00233
GO:0060089	0.00284
GO:0038023	0.00243
GO:0001664	0.00353
GO:0106310	0.0107
GO:0005524	0.0103
GO:0050839	0.0107
GO:0098960	0.0128
GO:0005178	0.019
GO:0032559	0.0244
GO:0048018	0.0256
GO:0008017	0.0251
GO:0030554	0.0348
GO:0030545	0.0388
GO:0004674	0.0368
GO:0008066	0.0399
GO:0005507	0.0396
GO:0005125	0.0383
GO:0030546	0.0386
GO:1901363	0.0385
GO:0030594	0.0461
