%  GO term	enrichment_P-value
GO:0003735	1.58e-09
GO:0003677	7.4e-08
GO:0043565	5.15e-07
GO:1990837	9.24e-07
GO:0003690	1.17e-06
GO:0000976	1.96e-06
GO:0001067	1.99e-06
GO:0140110	2.16e-06
GO:0005102	2.77e-06
GO:0003676	4.04e-06
GO:0000977	4.21e-06
GO:0003700	5.18e-06
GO:0000981	5.46e-06
GO:0106310	3.37e-05
GO:0000987	6.21e-05
GO:0001664	6.5e-05
GO:1901363	0.000113
GO:0005524	0.000121
GO:0140096	0.000136
GO:0097159	0.000158
GO:0000978	0.000158
GO:0004674	0.000382
GO:0005198	0.000712
GO:0032559	0.000895
GO:0003682	0.00146
GO:0016491	0.00158
GO:0030554	0.00167
GO:0008017	0.00396
GO:0016773	0.00422
GO:0016209	0.00576
GO:0050839	0.0057
GO:0004888	0.00659
GO:0016301	0.00651
GO:0048018	0.00656
GO:0008134	0.00671
GO:0061629	0.00902
GO:0005125	0.00889
GO:0098960	0.0102
GO:0004672	0.0105
GO:0030545	0.0103
GO:0001227	0.0104
GO:0030546	0.0104
GO:0060089	0.0103
GO:0038023	0.0101
GO:0005504	0.0105
GO:0140640	0.011
GO:0001217	0.0155
GO:0098641	0.0155
GO:0005507	0.0168
GO:0031406	0.0175
GO:0042393	0.0173
GO:0005178	0.0184
GO:0140297	0.0197
GO:0035639	0.0232
GO:0005539	0.0274
GO:0016645	0.0309
GO:0004386	0.0367
GO:0046873	0.0367
GO:0005509	0.0391
GO:0005109	0.0385
GO:0016772	0.0467
GO:0061134	0.0463
GO:0140098	0.047
GO:0016887	0.0486
GO:0033038	0.048
GO:0032553	0.0487
